Date,Price,Open,High,Low,Vol.,Change %,RSI
24-Feb-12,5,5,5.1,4.8,89.83K,0.00%,50.55004108297369
25-Feb-12,5,5,5.1,4.7,86.16K,-5.17%,50.55004108297369
26-Feb-12,5,4.8,5.1,4.8,70.04K,3.14%,50.55004108297369
27-Feb-12,5,4.9,5,4.9,29.37K,0.00%,50.55004108297369
28-Feb-12,5,5,5,4.7,62.69K,-1.81%,50.55004108297369
29-Feb-12,5,4.9,4.9,4.8,26.54K,0.00%,50.55004108297369
1-Mar-12,5,4.9,5,4.9,44.18K,1.23%,50.55004108297369
2-Mar-12,5,4.9,4.9,4.5,130.77K,-4.47%,50.55004108297369
3-Mar-12,5,4.7,4.8,4.5,40.08K,-1.91%,50.55004108297369
4-Mar-12,5,4.6,4.9,4.6,58.83K,4.56%,50.55004108297369
5-Mar-12,5,4.8,5.1,4.8,65.83K,3.32%,50.55004108297369
6-Mar-12,5,5,5.1,4.9,44.53K,0.00%,50.55004108297369
7-Mar-12,5,5,5.1,4.8,46.17K,0.00%,50.55004108297369
8-Mar-12,5,4.9,5,4.8,58.09K,0.00%,50.55004108297369
9-Mar-12,5,4.9,4.9,4.8,32.72K,-1.42%,50.55004108297369
10-Mar-12,5,4.9,4.9,4.8,28.07K,0.00%,50.55004108297369
11-Mar-12,5,4.8,5,4.8,42.44K,1.66%,50.55004108297369
12-Mar-12,5,4.9,4.9,4.9,22.05K,0.00%,50.55004108297369
13-Mar-12,5,4.9,5.4,4.9,127.33K,7.77%,50.55004108297369
14-Mar-12,5,5.3,5.4,5.3,62.89K,2.09%,50.55004108297369
15-Mar-12,5,5.4,5.4,5.3,41.08K,-0.93%,50.55004108297369
16-Mar-12,5,5.3,5.4,5.3,32.72K,0.00%,50.55004108297369
17-Mar-12,5,5.3,5.4,5.2,39.10K,-2.25%,50.55004108297369
18-Mar-12,5,5.2,5.3,5.2,22.86K,1.15%,50.55004108297369
19-Mar-12,5,5.3,5.3,4.5,188.89K,-11.17%,50.55004108297369
20-Mar-12,5,4.7,4.9,4.6,66.34K,3.20%,50.55004108297369
21-Mar-12,5,4.8,4.9,4.8,46.44K,0.00%,50.55004108297369
22-Mar-12,5,4.8,4.9,4.6,58.07K,-2.29%,50.55004108297369
23-Mar-12,5,4.7,4.8,4.6,54.13K,0.00%,50.55004108297369
24-Mar-12,5,4.7,4.7,4.6,39.07K,0.00%,50.55004108297369
25-Mar-12,5,4.7,4.7,4.3,71.56K,-2.78%,50.55004108297369
26-Mar-12,5,4.6,4.7,4.5,69.84K,1.54%,50.55004108297369
27-Mar-12,5,4.6,4.8,4.5,73.43K,4.11%,50.55004108297369
28-Mar-12,5,4.8,4.8,4.7,38.02K,0.00%,50.55004108297369
29-Mar-12,5,4.8,4.9,4.7,37.98K,0.00%,50.550041082973706
30-Mar-12,5,4.8,4.9,4.7,39.07K,1.04%,50.550041082973706
31-Mar-12,5,4.9,4.9,4.8,35.53K,0.00%,50.550041082973706
1-Apr-12,5,4.9,4.9,4.7,35.95K,-1.63%,50.55004108297372
2-Apr-12,5,4.8,5.1,4.8,80.66K,2.90%,50.55004108297372
3-Apr-12,5,5,5,4.8,78.48K,0.00%,50.55004108297372
4-Apr-12,5,4.9,5,4.9,51.04K,0.00%,50.55004108297372
5-Apr-12,5,4.9,4.9,4.9,33.81K,0.00%,50.55004108297372
6-Apr-12,5,4.9,5,4.9,58.21K,0.00%,50.55004108297372
7-Apr-12,5,4.9,4.9,4.7,80.95K,-5.25%,50.55004108297372
8-Apr-12,5,4.7,4.8,4.6,41.97K,2.13%,50.55004108297372
9-Apr-12,5,4.8,4.9,4.7,39.24K,1.67%,50.550041082973706
10-Apr-12,5,4.9,4.9,4.8,53.10K,0.00%,50.550041082973706
11-Apr-12,5,4.8,5,4.8,67.04K,1.86%,50.550041082973706
12-Apr-12,5,4.9,4.9,4.8,46.37K,0.00%,50.550041082973706
13-Apr-12,5,4.9,4.9,4.7,93.11K,0.00%,50.550041082973706
14-Apr-12,5,4.9,5,4.9,63.89K,0.00%,50.55004108297372
15-Apr-12,5,5,5,4.9,33.34K,0.00%,50.55004108297372
16-Apr-12,5,5,5,4.9,31.16K,0.00%,50.55004108297372
17-Apr-12,5,4.9,5,4.9,30.65K,1.01%,50.55004108297372
18-Apr-12,5,5,5.2,5,79.13K,2.81%,50.55004108297372
19-Apr-12,5,5.1,5.2,5.1,46.68K,0.00%,50.55004108297372
20-Apr-12,5,5.1,5.5,5.1,104.07K,4.09%,50.55004108297372
21-Apr-12,5,5.3,5.5,5.1,60.92K,-1.68%,50.55004108297372
22-Apr-12,5,5.3,5.3,5.1,37.11K,-1.14%,50.55004108297372
23-Apr-12,5,5.2,5.2,5,49.37K,-4.62%,50.55004108297372
24-Apr-12,5,5,5.2,4.9,70.99K,2.82%,50.55004108297372
25-Apr-12,5,5.1,5.2,5,35.64K,0.00%,50.55004108297372
